date,adjClose,adjHigh,adjLow
1987-11-06,1.18246298179624,1.20109216641824,1.16432403887483
1987-11-13,1.16432403887483,1.21334820893271,1.16432403887483
1987-11-20,1.11579011051752,1.18883612390377,1.10987079958639
1987-11-27,1.09753890181321,1.15919839067912,1.09753890181321
1987-12-04,1.04821131072048,1.10395148865526,1.0358794129473
1987-12-11,1.0052963064698,1.0792876931089,1.0052963064698
1987-12-18,1.16511770161024,1.18386218622548,1.01121561740093
1987-12-25,1.10395148865526,1.15919839067912,1.09112631497115
1988-01-01,1.08520700404002,1.13453459513275,1.0792876931089
1988-01-08,1.08520700404002,1.16511770161024,1.08520700404002
1988-01-15,1.14686649290594,1.14686649290594,1.06054320849366
1988-01-22,1.18386218622548,1.18386218622548,1.13453459513275
1988-01-29,1.22085787954503,1.23318977731821,1.19619408399866
1988-02-05,1.24552167509139,1.25193426193345,1.20852598177185
1988-02-12,1.2637728837957,1.27659805747981,1.25193426193345
1988-02-19,1.27018547063776,1.27018547063776,1.23318977731821
1988-02-26,1.30285451667058,1.32767079317859,1.25322196365455
1988-03-04,1.3648952079406,1.37085111430253,1.30930674856266
1988-03-11,1.43934403746464,1.45175217571864,1.37730334619461
1988-03-18,1.44529994382656,1.46416031397265,1.43338813110271
1988-03-25,1.49493249684258,1.53860914349668,1.40211962270262
1988-04-01,1.48897659048066,1.51379286698867,1.45820440761072
1988-04-08,1.48302068411874,1.51974877335059,1.45820440761072
1988-04-15,1.48897659048066,1.48897659048066,1.44529994382656
1988-04-22,1.44529994382656,1.51379286698867,1.43934403746464
1988-04-29,1.37730334619461,1.48302068411874,1.3648952079406
1988-05-06,1.38971148444861,1.42048366731855,1.37085111430253
1988-05-13,1.37085111430253,1.38971148444861,1.37085111430253
1988-05-20,1.40211962270262,1.40211962270262,1.37085111430253
1988-05-27,1.40346986399466,1.43491317887079,1.40346986399466
1988-06-03,1.42842487580111,1.43491317887079,1.39748066116112
1988-06-10,1.44140148194046,1.46635649374691,1.42243567296756
1988-06-17,1.48482320248368,1.49730070838691,1.43491317887079
1988-06-24,1.51626651735981,1.52225572019336,1.47833489941401
1988-07-01,1.52225572019336,1.53473322609658,1.50328991122046
1988-07-08,1.50328991122046,1.52225572019336,1.50328991122046
1988-07-15,1.52225572019336,1.53473322609658,1.49730070838691
1988-07-22,1.50977821429013,1.54122152916626,1.50328991122046
1988-07-29,1.29766061393532,1.50328991122046,1.29167141110177
1988-08-05,1.29766061393532,1.31013811983855,1.2851831080321
1988-08-12,1.2851831080321,1.29766061393532,1.26022809622565
1988-08-19,1.24775059032242,1.29766061393532,1.24775059032242
1988-08-26,1.25569804631174,1.26825502677486,1.24314106584862
1988-09-02,1.24314106584862,1.24314106584862,1.21802710492239
1988-09-09,1.21802710492239,1.26172539693404,1.21149747508157
1988-09-16,1.22455673476321,1.22455673476321,1.19291314399615
1988-09-23,1.17432881291074,1.2366114360078,1.16779918306992
1988-09-30,1.14268522214368,1.17432881291074,1.11757126121745
1988-10-07,1.1552422026068,1.18638351415533,1.14268522214368
1988-10-14,1.17432881291074,1.18035616353303,1.1552422026068
1988-10-21,1.19291314399615,1.19291314399615,1.1612695532291
1988-10-28,1.21802710492239,1.22455673476321,1.18638351415533
1988-11-04,1.24314106584862,1.24967069568944,1.20547012445927
1988-11-11,1.21802710492239,1.24967069568944,1.20547012445927
1988-11-18,1.19291314399615,1.21802710492239,1.19291314399615
1988-11-25,1.19944277383697,1.21802710492239,1.18035616353303
1988-12-02,1.26172539693404,1.26825502677486,1.19944277383697
1988-12-09,1.28290430411004,1.28290430411004,1.25763038164925
1988-12-16,1.30817822657084,1.33951789042223,1.27633308427024
1988-12-23,1.20708253672765,1.30817822657084,1.20051131688785
1988-12-30,1.20051131688785,1.22578523934864,1.19394009704804
1989-01-06,1.20708253672765,1.21921401950884,1.19394009704804
1989-01-13,1.19394009704804,1.23842220057904,1.19394009704804
1989-01-20,1.20708253672765,1.21314827811825,1.20051131688785
1989-01-27,1.21314827811825,1.22578523934864,1.20051131688785
1989-02-03,1.22578523934864,1.22578523934864,1.20051131688785
1989-02-10,1.24448794196963,1.26369612303984,1.23842220057904
1989-02-17,1.27633308427024,1.28290430411004,1.23842220057904
1989-02-24,1.27881363217687,1.29204976053538,1.27270464985755
1989-03-03,1.28543169635612,1.31088578935328,1.26659566753823
1989-03-10,1.28543169635612,1.30426772517402,1.27881363217687
1989-03-17,1.28543169635612,1.32972181817117,1.28543169635612
1989-03-24,1.28543169635612,1.30426772517402,1.27270464985755
1989-03-31,1.28543169635612,1.29204976053538,1.28543169635612
1989-04-07,1.26659566753823,1.29204976053538,1.25997760335897
1989-04-14,1.25335953917971,1.29204976053538,1.25335953917971
1989-04-21,1.30426772517402,1.32361283585185,1.25997760335897
1989-04-28,1.37452102184615,1.37452102184615,1.28543169635612
1989-05-05,1.42542920784045,1.43815625433903,1.36841203952684
1989-05-12,1.48906444033333,1.50179148683191,1.42542920784045
1989-05-19,1.50790046915122,1.51451853333048,1.47633739383476
1989-05-26,1.4853823472347,1.51099238770426,1.45977230676513
1989-06-02,1.57501748887817,1.58167609940026,1.49818736746948
1989-06-09,1.58167609940026,1.60062752934773,1.54940744840861
1989-06-16,1.57501748887817,1.59396891882565,1.56221246864339
1989-06-23,1.49818736746948,1.57501748887817,1.49152875694739
1989-06-30,1.44696728653035,1.51099238770426,1.44030867600827
1989-07-07,1.44696728653035,1.45977230676513,1.44030867600827
1989-07-14,1.42135724606079,1.46591871647783,1.42135724606079
