date,adjClose,adjHigh,adjLow
2006-11-03,6.82077691427404,6.92571194372441,6.69302992189968
2006-11-10,6.85727605495243,6.91658715855481,6.64284360346689
2006-11-17,7.17208114330354,7.24051703207552,6.77059059584125
2006-11-24,7.02608458058998,7.20401789139713,6.93483672889401
2006-12-01,6.90746237338522,7.03064697317478,6.85727605495243
2006-12-08,7.25876660241472,7.28157856533871,6.84815126978283
2006-12-15,7.41388795029787,7.73781782381858,7.23139224690592
2006-12-22,7.33632727635629,7.55075972784183,7.3043905282627
2006-12-29,7.34088966894109,7.43669991322186,7.3043905282627
2007-01-05,7.44126230580666,7.60094604627462,7.34088966894109
2007-01-12,7.71044346830978,7.72869303864898,7.39563837995868
2007-01-19,7.83362806809935,7.95681266788892,7.6511323647074
2007-01-26,7.49601101682425,7.90662634945613,7.45038709097626
2007-02-02,7.56444690559623,7.68306911280099,7.42757512805227
2007-02-09,7.3226400986019,7.56900929818103,7.24964181724512
2007-02-16,7.47776144648505,7.68763150538579,7.2998281356779
2007-02-23,7.39107598737388,7.57357169076583,7.38651359478908
2007-03-02,7.29070335050831,7.54619733525703,7.08083329160757
2007-03-09,7.86556481619294,7.87468960136254,7.13558200262515
2007-03-16,7.80625371259056,7.85187763843854,7.6693819350466
2007-03-23,8.3719903931056,8.39023996344479,7.76975457191217
2007-03-30,8.72785701471989,8.88754075518785,8.24880579331603
2007-04-06,9.12022277701258,9.19322105836936,8.72329462213509
2007-04-13,9.53083810964446,9.61296117617084,9.11109799184298
2007-04-20,9.65858510201883,9.7361457759604,9.47608939862688
2007-04-27,9.91864147935235,10.1239491456683,9.53996289481406
2007-05-04,10.0235765088027,10.2562585306275,9.69052185011242
2007-05-11,10.2380089602883,10.5436892634698,9.96426540520034
2007-05-18,10.470690982113,10.5117525153762,10.2425713528731
2007-05-25,10.447879019189,10.8311199963121,10.3885679155866
2007-06-01,10.7489969297857,10.8265576037273,10.4341918414346
2007-06-08,10.7216225742769,10.9314926331777,10.402255093341
2007-06-15,11.059239625552,11.2691096844528,10.6258123299961
2007-06-22,10.6714362558441,11.0638020181368,10.6258123299961
2007-06-29,10.4889405524522,10.7170601816921,10.3292568119842
2007-07-06,10.6121251522418,10.7353097520313,10.3840055230018
2007-07-13,10.9269302405929,10.9634293812713,10.4843781598674
2007-07-20,11.4972293136927,11.8622207204766,10.9223678480081
2007-07-27,10.99080373678,11.7481609058566,10.379443130417
2007-08-03,10.7489969297857,11.1185507291544,10.1786978566859
2007-08-10,11.2097985808504,11.9260942166638,10.7353097520313
2007-08-17,10.5710636189786,11.4059814619967,10.0007645458787
2007-08-24,10.4205046636802,11.1550498698328,10.2836328861362
2007-08-31,11.4607301730143,11.5291660617863,10.7581217149553
2007-09-07,11.5930395579735,11.6797250170846,11.3466703583943
2007-09-14,12.0036548906054,12.2272121272605,11.5930395579735
2007-09-21,12.6058907117988,12.8796342668867,11.7070993725934
2007-09-28,13.1625026071442,13.3814974512146,12.2500240901845
2007-10-05,13.3404359179514,13.6004922952849,12.9936940815067
2007-10-12,13.1260034664658,13.3860598437994,12.8978838372259
2007-10-19,12.4963932897636,13.0621299702786,12.4233950084068
2007-10-26,12.9982564740915,13.2309384959162,12.3640839048044
2007-11-02,12.7975112003603,13.1168786812962,12.555704393366
2007-11-09,11.5747899876343,12.7062633486644,11.3512327509791
2007-11-16,10.607562759657,11.7253489429326,10.447879019189
2007-11-23,10.5984379744874,10.9816789516104,10.288195278721
2007-11-30,11.1596122624176,11.3147336103008,10.2927576713058
2007-12-07,12.4279574009916,12.6104531043836,11.4926669211079
2007-12-14,12.1405266681493,12.9343829779043,11.807472009459
2007-12-21,11.7664104761958,12.1952753791669,11.3649199287335
2007-12-28,11.4333558175055,11.8348463649678,11.2234857586048
2008-01-04,11.150487477248,11.6386634838215,11.059239625552
2008-01-11,10.9588669886865,11.2919216473768,10.7398721446161
2008-01-18,10.6577490780897,11.6204139134823,10.5573764412242
2008-01-25,10.8584943518209,11.241735328944,10.1513235011771
2008-02-01,10.6577490780897,11.3603575361487,10.493502945037
2008-02-08,10.0737628272355,10.7216225742769,9.7315833833756
2008-02-15,10.379443130417,10.4524414117738,9.7498329537148
2008-02-22,10.4752533746978,10.7581217149553,9.94601583486114
2008-02-29,10.2973200638906,10.8539319592361,10.1650106789315
2008-03-07,9.48977657638127,10.5071901227914,9.43502786536369
2008-03-14,9.42590308019409,10.0007645458787,8.92860228845104
2008-03-21,9.43046547277889,9.69964663528201,9.03353731790141
2008-03-28,9.18409627319976,10.0007645458787,9.10653559925819
2008-04-04,9.90951669418275,10.0235765088027,9.37115436917651
2008-04-11,9.89126712384356,10.311007241645,9.71789620562121
2008-04-18,10.3885679155866,10.5528140486394,9.71789620562121
2008-04-25,10.1376363234227,10.4980653376218,10.0372636865571
2008-05-02,11.1094259439848,11.1824242253416,10.0600756494811
2008-05-09,12.1040275274709,12.1405266681493,10.5573764412242
2008-05-16,11.8667831130614,12.1770258088277,11.5246036692015
2008-05-23,11.5930395579735,11.9397813944182,11.1778618327568
2008-05-30,11.9489061795878,11.9854053202662,11.4561677804295
2008-06-06,11.7025369800086,12.2408993050149,11.6249763060671
2008-06-13,11.5565404172951,11.807472009459,11.2234857586048
2008-06-20,11.1687370475872,11.9945301054358,11.1094259439848
2008-06-27,10.2060722121947,11.3329831806399,10.2015098196099
2008-07-04,9.53996289481406,10.2745081009666,9.45327743570288
2008-07-11,9.4167782950245,9.64033553167963,9.19322105836936
2008-07-18,9.70877142045161,9.91864147935235,9.4167782950245
2008-07-25,9.64946031684923,10.0190141162179,9.50346375413567
2008-08-01,8.6913578740415,9.79545687956279,8.65029634077832
2008-08-08,8.38567757085999,8.7187322295503,8.10280923060247
2008-08-15,9.37115436917651,9.4167782950245,8.44955106704717
2008-08-22,9.17040909544537,9.36659197659171,8.72785701471989
2008-08-29,9.22972019904775,9.30271848040453,8.76891854798308
2008-09-05,8.90579032552704,9.63121074651003,8.7096074443807
2008-09-12,8.86929118484865,9.46696461345728,8.3583032153512
2008-09-19,8.85800165837479,10.7843224354418,7.07513030087657
2008-09-26,8.29957356076759,8.87849443259891,7.95119639895759
2008-10-03,6.70113717128642,8.12538497986259,6.57818052594172
2008-10-10,5.69699123430467,6.85995617152333,5.43570836294717
2008-10-17,6.59355010660981,7.2903044302298,5.24102700781805
2008-10-24,5.26151978204217,7.06488391376451,5.13343994314143
2008-10-31,6.98803601042407,7.35690594645818,5.22053423359393
2008-11-07,7.21857972044539,7.53109452736318,6.19394100923952
2008-11-14,7.13148542999289,7.68479033404406,5.96852049277422
2008-11-21,6.58330371949775,7.37227552712627,5.7892087183132
2008-11-28,7.68479033404406,7.83336294716892,6.4347311063729
2008-12-05,7.06488391376451,7.41326107557451,6.37325278370054
2008-12-12,6.69601397773039,7.8128701729448,6.53207178393745
2008-12-19,7.2032101397773,7.44400023691068,6.50133262260128
2008-12-26,7.01365197820421,7.40813788201848,6.80360104240701
2009-01-02,7.50547855958304,7.57208007581142,6.81384742951907
2009-01-09,7.56183368869936,7.78213101160862,7.18271736555318
2009-01-16,7.56183368869936,7.88459488272921,7.19296375266524
2009-01-23,7.53109452736318,7.64892797915186,6.98803601042407
2009-01-30,7.42863065624259,7.74626865671642,7.26468846244965
2009-02-06,7.14173181710495,7.62843520492774,6.80360104240701
2009-02-13,7.16222459132907,7.24931888178157,6.93168088130775
2009-02-20,6.49620942904525,7.10586946221274,6.3834991708126
2009-02-27,7.94607320540156,7.98700752191424,6.43478233830846
2009-03-06,7.74626865671642,8.15612414119877,7.51572494669509
2009-03-13,8.6684434968017,8.70430585169391,7.38252191423833
2009-03-20,8.13050817341862,8.85800165837479,8.10489220563847
2009-03-27,8.25858801231935,8.56085643212509,8.03316749585406
2009-04-03,9.23711798152097,9.25248756218905,7.85385572139303
2009-04-10,9.19613243307273,9.23711798152097,8.51474769012082
2009-04-17,9.34982823975361,9.41130656242596,8.58647239990523
2009-04-24,9.33445865908552,9.65721985311537,8.91435678749111
2009-05-01,9.53426320777067,10.1900319829424,9.10903814262023
2009-05-08,10.3847133380715,10.9994965647951,9.67771262733949
2009-05-15,9.88264036958067,10.6101338545368,9.71869817578773
2009-05-22,11.1839315328121,11.3581201137171,9.71869817578773
2009-05-29,11.5015695332859,11.5220623075101,10.9533878227908
2009-06-05,11.7935915659796,11.8909322435442,11.2146706941483
2009-06-12,11.332504145937,12.3366500829187,11.1326995972518
2009-06-19,10.7074745321014,11.2812722103767,10.5076699834162
2009-06-26,11.1378227908079,11.1941779199242,10.1849087893864
2009-07-03,11.3120113717129,11.9677801468846,11.1429459843639
2009-07-10,11.5015695332859,11.7295516465293,10.9738293650794
2009-07-17,11.9626569533286,12.2393094053542,11.1788083392561
2009-07-24,12.2905413409145,12.4647299218195,11.7833451788676
2009-07-31,12.551824212272,12.6389185027245,12.029258469557
2009-08-07,13.1717306325515,13.1973466003317,12.4493603411514
2009-08-14,12.6901504382848,13.3151800521203,12.3786602700782
2009-08-21,13.1256218905473,13.1614842454395,12.3622660506989
2009-08-28,13.253701729448,13.8428689883914,13.0334044065387
2009-09-04,13.3715351812367,13.5559701492537,12.9309405354181
2009-09-11,14.5191305377872,14.6933191186922,13.422767116797
2009-09-18,15.164652925847,15.2517472162995,14.3346955697702
2009-09-25,14.1912461502014,15.2927327647477,14.1810509950249
2009-10-02,14.8675076995972,15.3081023454158,14.1950885453684
2009-10-09,15.6513563136697,15.9382551528074,14.9084932480455
2009-10-16,15.4259357972044,15.7845593461265,15.1953920871831
2009-10-23,15.2363776356314,16.0612117981521,15.0621890547264
2009-10-30,14.0887822790808,15.4464285714286,14.0068111821843
2009-11-06,15.4054430229803,15.4054430229803,13.6481876332623
2009-11-13,15.6564795072258,15.8409144752428,15.3234719260839
2009-11-20,15.9638711205875,16.389096185738,15.6154939587775
2009-11-27,16.1739220563847,16.5991471215352,15.7999289267946
2009-12-04,16.0765813788202,16.74771973466,15.9331319592514
2009-12-11,16.3583570244018,16.4198353470741,15.6616027007818
2009-12-18,16.1278133143805,16.4198353470741,15.876776830135
2009-12-25,15.9433783463634,16.3634802179578,15.8050521203506
2010-01-01,15.7128346363421,16.1380597014925,15.5796316038853
2010-01-08,16.7938284766643,16.8962923477849,15.7230810234542
