date,adjClose,adjHigh,adjLow
1985-07-05,1.59737395700056,1.622362959938,1.54931818212088
1985-07-12,1.58584057102944,1.60986845846928,1.52625141017864
1985-07-19,1.73000789566848,1.75403578310832,1.58584057102944
1985-07-26,1.64542973188024,1.73000789566848,1.63389634590912
1985-08-02,1.52625141017864,1.64542973188024,1.51375690870992
1985-08-09,1.4416732463904,1.51375690870992,1.34556169663104
1985-08-16,1.36958958407088,1.45320663236152,1.36958958407088
1985-08-23,1.36958958407088,1.39361747151072,1.33402831065992
1985-08-30,1.3820840855396,1.3820840855396,1.30903930772248
1985-09-06,1.33402831065992,1.40515085748184,1.29750592175136
1985-09-13,1.15333859711232,1.3215338091912,1.1418052111412
1985-09-20,1.17736648455216,1.22542225943184,1.05722704735296
1985-09-27,1.17736648455216,1.22542225943184,1.16487198308344
1985-10-04,1.22542225943184,1.23791676090056,1.15333859711232
1985-10-11,1.12931070967248,1.21292775796312,1.11681620820376
1985-10-18,1.0207046584444,1.1418052111412,0.997637886502157
1985-10-25,1.05722704735296,1.0812549347928,1.00917127247328
1985-11-01,1.04569366138184,1.09374943626152,1.03319915991312
1985-11-08,1.1418052111412,1.1418052111412,1.04569366138184
1985-11-15,1.30903930772248,1.34556169663104,1.1418052111412
1985-11-22,1.29750592175136,1.3215338091912,1.24945014687168
1985-11-29,1.28597253578024,1.30903930772248,1.27347803431152
1985-12-06,1.17736648455216,1.30903930772248,1.17736648455216
1985-12-13,1.30903930772248,1.30903930772248,1.12931070967248
1985-12-20,1.3215338091912,1.43013986041928,1.2609835328428
1985-12-27,1.33402831065992,1.33402831065992,1.27347803431152
1986-01-03,1.36958958407088,1.3820840855396,1.28597253578024
1986-01-10,1.30903930772248,1.53778479614976,1.30903930772248
1986-01-17,1.36958958407088,1.43013986041928,1.28597253578024
1986-01-24,1.36958958407088,1.40515085748184,1.34556169663104
1986-01-31,1.39361747151072,1.41764535895056,1.34556169663104
1986-02-07,1.53778479614976,1.5618126835896,1.40515085748184
1986-02-14,1.57430718505832,1.58584057102944,1.47819563529896
1986-02-21,1.87417522030752,1.87417522030752,1.5618126835896
1986-02-28,1.75403578310832,1.8626418343364,1.70598000822864
1986-03-07,2.09042620726608,2.17404325555672,1.7415412816396
1986-03-14,2.02987593091768,2.12598748067704,1.981820156038
1986-03-21,1.9222309951872,2.00680915897544,1.87417522030752
1986-03-28,2.17404325555672,2.30667719422464,1.802091557988
1986-04-04,1.94625888262704,2.2220990304364,1.94625888262704
1986-04-11,2.02987593091768,2.13848198214576,1.93376438115832
1986-04-18,1.94625888262704,2.1029207087348,1.93376438115832
1986-04-25,1.87417522030752,1.97028677006688,1.83765283139896
1986-05-02,1.76653028457704,1.89820310774736,1.76653028457704
1986-05-09,1.82611944542784,1.87417522030752,1.70598000822864
1986-05-16,1.71847450969736,1.85014733286768,1.622362959938
1986-05-23,1.83765283139896,1.85014733286768,1.67041873481768
1986-05-30,1.73000789566848,1.83765283139896,1.73000789566848
1986-06-06,1.82611944542784,1.82611944542784,1.65792423334896
1986-06-13,1.981820156038,1.981820156038,1.73000789566848
1986-06-20,1.9222309951872,2.02987593091768,1.83765283139896
1986-06-27,1.88570860627864,1.9222309951872,1.85014733286768
1986-07-04,1.7415412816396,1.94625888262704,1.6819521207888
1986-07-11,1.53778479614976,1.73000789566848,1.5012624072412
1986-07-18,1.39361747151072,1.53778479614976,1.33402831065992
1986-07-25,1.3820840855396,1.39361747151072,1.29750592175136
1986-08-01,1.17736648455216,1.40515085748184,1.15333859711232
1986-08-08,1.18986098602088,1.21292775796312,1.05722704735296
1986-08-15,1.3215338091912,1.3215338091912,1.21292775796312
1986-08-22,1.29750592175136,1.33402831065992,1.24945014687168
1986-08-29,1.24945014687168,1.29750592175136,1.22542225943184
1986-09-05,1.21292775796312,1.2609835328428,1.16487198308344
1986-09-12,1.0812549347928,1.23791676090056,1.03319915991312
1986-09-19,1.1418052111412,1.17736648455216,1.00917127247328
1986-09-26,1.23791676090056,1.33402831065992,1.12931070967248
1986-10-03,1.201394371992,1.22542225943184,1.17736648455216
1986-10-10,1.18986098602088,1.21292775796312,1.18986098602088
1986-10-17,1.30903930772248,1.3215338091912,1.18986098602088
1986-10-24,1.33402831065992,1.33402831065992,1.24945014687168
1986-10-31,1.41764535895056,1.4416732463904,1.3215338091912
1986-11-07,1.34556169663104,1.43013986041928,1.34556169663104
1986-11-14,1.30903930772248,1.35709508260216,1.29750592175136
1986-11-21,1.3820840855396,1.3820840855396,1.28597253578024
1986-11-28,1.39361747151072,1.43013986041928,1.3215338091912
1986-12-05,1.29750592175136,1.39361747151072,1.29750592175136
1986-12-12,1.201394371992,1.28597253578024,1.18986098602088
1986-12-19,1.18986098602088,1.21292775796312,1.12931070967248
1986-12-26,1.16487198308344,1.18986098602088,1.10528282223264
1987-01-02,1.21292775796312,1.22542225943184,1.12931070967248
1987-01-09,1.3215338091912,1.33402831065992,1.21292775796312
1987-01-16,1.33402831065992,1.36958958407088,1.30903930772248
1987-01-23,1.48972902127008,1.5618126835896,1.30903930772248
1987-01-30,1.5012624072412,1.58584057102944,1.4416732463904
1987-02-06,1.5618126835896,1.622362959938,1.46570113383024
1987-02-13,1.57430718505832,1.622362959938,1.47819563529896
1987-02-20,1.57430718505832,1.58584057102944,1.51375690870992
1987-02-27,1.53778479614976,1.57430718505832,1.48972902127008
1987-03-06,1.60986845846928,1.64542973188024,1.48972902127008
1987-03-13,1.622362959938,1.67041873481768,1.57430718505832
1987-03-20,1.60986845846928,1.63389634590912,1.57430718505832
